hidden_dims,dropouts,rank,batch_size,learning_rate,factor_lr,weight_decay,post_text_dim,post_audio_dim,post_video_dim,post_dropouts,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,MAE,Corr,Mult_acc_5,Mult_acc_3,Mult_acc_2,F1_score
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.3)",6,32,0.005,0.001,0.0001,16,4,32,"(0.4, 0.4, 0.4)",0.4,0.4,0.2,0.0,1e-05,0.0001,0.001,48.09,45.13,35.97,57.59,76.06,79.11
"(256, 32, 256)","(0.2, 0.2, 0.2, 0.2)",3,128,0.0005,0.0005,0.005,16,5,16,"(0.5, 0.5, 0.5)",1.0,1.0,0.0,0.0,0.0001,0.0,0.001,43.24,58.72,38.16,65.43,78.82,78.98
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.5)",4,32,0.0005,0.001,0.0001,8,4,8,"(0.5, 0.5, 0.5)",0.6,0.0,0.8,0.6,0.0001,1e-05,0.0001,44.62,60.4,33.61,65.08,79.34,79.66
"(64, 32, 64)","(0.3, 0.3, 0.3, 0.5)",4,64,0.005,0.0005,0.001,8,5,8,"(0.4, 0.4, 0.4)",0.6,0.2,0.8,0.2,0.0,0.001,1e-05,43.9,60.96,33.39,64.86,80.35,80.79
"(64, 32, 64)","(0.4, 0.4, 0.4, 0.4)",5,32,0.002,0.0001,0.0001,32,4,8,"(0.3, 0.3, 0.3)",0.2,0.8,0.8,1.0,0.001,0.001,0.0001,50.08,48.73,25.56,59.56,76.81,78.32
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.5)",6,128,0.001,0.0005,0.0001,16,4,8,"(0.3, 0.3, 0.3)",0.8,0.6,0.4,0.6,0.001,0.001,0.001,40.63,63.72,42.58,66.87,79.65,79.7
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.3)",3,64,0.005,0.0001,0.001,16,4,8,"(0.2, 0.2, 0.2)",0.2,0.8,1.0,0.0,0.0001,0.0,0.0001,39.95,65.63,41.58,67.48,82.28,82.62
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.3)",4,64,0.001,0.0001,0.0001,32,5,64,"(0.3, 0.3, 0.3)",0.2,0.0,0.4,0.2,0.0,0.001,1e-05,43.84,58.1,39.52,64.95,78.12,78.75
"(64, 32, 64)","(0.3, 0.3, 0.3, 0.5)",3,128,0.0005,0.0005,0.001,64,5,64,"(0.3, 0.3, 0.3)",1.0,0.6,0.6,0.2,0.0,0.0001,0.001,42.43,59.65,43.15,66.17,79.26,79.44
"(64, 16, 64)","(0.2, 0.2, 0.2, 0.2)",4,32,0.005,0.0001,0.001,8,4,16,"(0.4, 0.4, 0.4)",1.0,0.8,0.8,0.6,0.001,0.001,0.001,47.72,51.67,30.9,62.89,77.02,78.56
"(128, 16, 128)","(0.4, 0.4, 0.4, 0.4)",4,64,0.005,0.0001,0.001,16,4,16,"(0.4, 0.4, 0.4)",1.0,0.6,0.4,0.6,0.001,0.0001,0.0001,46.86,55.09,30.77,61.84,78.38,79.63
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.3)",3,128,0.005,0.001,0.005,32,4,32,"(0.2, 0.2, 0.2)",0.8,0.0,0.8,0.6,0.0,0.0001,0.0001,42.64,62.95,37.37,66.43,79.43,80.1
"(64, 32, 64)","(0.4, 0.4, 0.4, 0.4)",4,128,0.005,0.001,0.0001,16,5,16,"(0.2, 0.2, 0.2)",0.6,0.2,0.6,0.8,1e-05,0.0001,0.0,41.39,63.83,37.94,66.61,80.48,80.6
"(64, 16, 64)","(0.4, 0.4, 0.4, 0.4)",6,64,0.0005,0.001,0.0001,16,4,64,"(0.3, 0.3, 0.3)",0.8,1.0,0.2,0.2,1e-05,1e-05,0.0001,42.41,61.95,38.69,65.16,79.21,79.35
"(128, 16, 128)","(0.4, 0.4, 0.4, 0.4)",4,64,0.001,0.001,0.005,32,5,64,"(0.5, 0.5, 0.5)",0.4,0.2,0.6,0.4,1e-05,0.0001,0.0,42.61,60.81,38.03,66.04,80.44,81.14
"(128, 16, 128)","(0.2, 0.2, 0.2, 0.2)",6,32,0.005,0.0001,0.005,8,5,64,"(0.2, 0.2, 0.2)",1.0,0.6,1.0,1.0,0.0,1e-05,1e-05,40.94,64.87,40.61,67.31,81.31,81.58
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.5)",6,64,0.001,0.0005,0.005,8,5,8,"(0.4, 0.4, 0.4)",0.6,0.8,1.0,0.4,1e-05,0.0001,0.001,42.73,59.64,40.79,65.95,79.56,79.91
"(128, 32, 128)","(0.3, 0.3, 0.3, 0.3)",6,32,0.0005,0.001,0.001,32,4,64,"(0.2, 0.2, 0.2)",0.8,0.0,0.4,0.4,1e-05,1e-05,0.0,43.83,59.82,36.11,64.6,79.96,80.54
"(256, 32, 256)","(0.4, 0.4, 0.4, 0.4)",4,128,0.001,0.0001,0.0001,64,5,64,"(0.2, 0.2, 0.2)",1.0,0.4,0.6,0.6,0.0001,0.0001,1e-05,43.08,61.34,35.27,64.95,80.0,80.43
"(128, 32, 128)","(0.3, 0.3, 0.3, 0.5)",6,64,0.005,0.0005,0.0001,32,4,64,"(0.2, 0.2, 0.2)",1.0,0.8,0.8,1.0,0.001,0.0001,0.0001,47.23,54.3,29.45,61.71,77.9,79.33
"(128, 16, 128)","(0.4, 0.4, 0.4, 0.4)",5,128,0.0005,0.0001,0.0001,16,5,32,"(0.2, 0.2, 0.2)",0.8,0.2,0.0,0.0,0.0001,0.001,1e-05,45.94,55.01,36.63,62.49,77.99,79.49
"(256, 32, 256)","(0.2, 0.2, 0.2, 0.2)",6,32,0.0005,0.0005,0.001,32,4,16,"(0.5, 0.5, 0.5)",1.0,0.0,0.8,0.8,0.001,0.001,0.001,40.42,66.56,39.39,66.78,80.0,80.38
"(64, 16, 64)","(0.4, 0.4, 0.4, 0.4)",3,32,0.005,0.001,0.0001,64,5,64,"(0.2, 0.2, 0.2)",0.8,0.0,0.6,0.6,1e-05,0.0,1e-05,47.9,53.55,29.19,59.82,77.02,78.96
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.3)",5,128,0.002,0.0001,0.001,32,5,8,"(0.5, 0.5, 0.5)",0.8,0.4,0.0,0.0,0.001,0.001,0.001,43.34,60.67,36.41,63.85,80.0,80.28
"(128, 32, 128)","(0.4, 0.4, 0.4, 0.4)",3,32,0.0005,0.0001,0.005,32,5,8,"(0.4, 0.4, 0.4)",1.0,0.6,1.0,1.0,1e-05,1e-05,1e-05,43.59,57.45,38.25,62.45,79.34,79.63
"(128, 32, 128)","(0.2, 0.2, 0.2, 0.2)",5,32,0.0005,0.0001,0.0001,16,4,64,"(0.4, 0.4, 0.4)",0.6,1.0,0.0,0.2,0.001,0.0001,0.0,44.34,59.5,34.14,65.12,80.09,80.55
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.3)",5,128,0.001,0.001,0.0001,32,5,16,"(0.5, 0.5, 0.5)",1.0,0.4,0.2,0.8,0.0,1e-05,1e-05,43.74,59.82,36.54,64.6,78.29,78.53
"(64, 32, 64)","(0.4, 0.4, 0.4, 0.4)",6,64,0.0005,0.0001,0.0001,8,4,16,"(0.2, 0.2, 0.2)",0.4,0.6,1.0,1.0,0.0001,0.001,0.0001,42.99,61.29,38.12,65.86,79.69,80.03
"(64, 32, 64)","(0.3, 0.3, 0.3, 0.3)",5,64,0.002,0.0005,0.005,8,4,16,"(0.4, 0.4, 0.4)",0.6,0.8,0.8,0.8,0.001,0.0001,0.0,44.35,60.38,34.62,64.55,79.08,79.79
"(128, 32, 128)","(0.4, 0.4, 0.4, 0.4)",3,32,0.001,0.001,0.005,16,5,8,"(0.2, 0.2, 0.2)",1.0,0.0,0.8,1.0,0.001,0.0001,0.0001,45.38,59.4,33.52,62.36,78.21,78.76
"(128, 32, 128)","(0.3, 0.3, 0.3, 0.3)",3,64,0.0005,0.0005,0.001,8,5,64,"(0.2, 0.2, 0.2)",0.2,0.2,0.8,1.0,1e-05,1e-05,0.0,41.85,61.9,39.96,66.48,79.56,79.91
"(256, 32, 256)","(0.2, 0.2, 0.2, 0.2)",5,32,0.001,0.0005,0.0001,32,4,32,"(0.4, 0.4, 0.4)",0.2,0.0,0.8,0.4,1e-05,1e-05,1e-05,42.44,64.02,36.24,64.77,80.7,81.41
"(128, 32, 128)","(0.2, 0.2, 0.2, 0.2)",4,128,0.005,0.001,0.0001,32,4,32,"(0.2, 0.2, 0.2)",1.0,0.2,1.0,0.2,0.0001,0.001,0.0,44.39,58.52,36.02,64.33,78.82,79.72
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.3)",4,32,0.0005,0.0005,0.0001,16,5,8,"(0.4, 0.4, 0.4)",0.4,0.4,0.6,0.6,0.001,1e-05,1e-05,50.74,48.4,25.38,59.04,75.58,77.32
"(64, 32, 64)","(0.2, 0.2, 0.2, 0.2)",4,128,0.001,0.0005,0.001,8,4,64,"(0.3, 0.3, 0.3)",1.0,0.2,0.0,0.6,1e-05,0.001,0.0,44.43,60.41,34.75,62.45,79.12,79.96
"(64, 16, 64)","(0.4, 0.4, 0.4, 0.4)",6,64,0.005,0.001,0.0001,32,5,16,"(0.5, 0.5, 0.5)",0.6,0.2,1.0,0.8,0.0,0.0001,1e-05,41.49,63.96,40.13,67.75,80.35,80.58
"(128, 32, 128)","(0.3, 0.3, 0.3, 0.3)",5,32,0.0005,0.001,0.005,16,4,64,"(0.4, 0.4, 0.4)",0.4,0.0,1.0,0.6,0.0001,0.001,0.0001,45.6,61.66,29.28,63.54,79.3,80.26
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.3)",3,32,0.0005,0.0005,0.0001,32,5,16,"(0.5, 0.5, 0.5)",1.0,1.0,1.0,1.0,0.0,0.001,0.0001,43.63,61.73,36.11,64.33,80.61,81.04
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.5)",3,128,0.002,0.001,0.0001,8,5,64,"(0.3, 0.3, 0.3)",0.8,0.6,0.4,0.0,0.0,0.0,0.001,43.45,57.91,40.44,65.16,79.26,79.91
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.5)",5,32,0.0005,0.001,0.001,64,4,64,"(0.2, 0.2, 0.2)",0.4,0.0,0.8,0.8,0.0001,1e-05,0.0001,43.56,64.1,32.69,65.47,80.88,81.13
"(128, 16, 128)","(0.2, 0.2, 0.2, 0.2)",4,128,0.001,0.0001,0.005,8,4,16,"(0.5, 0.5, 0.5)",0.6,0.6,0.8,0.2,0.0001,0.0001,0.001,41.06,63.07,41.44,66.7,80.48,80.88
"(128, 32, 128)","(0.2, 0.2, 0.2, 0.2)",6,32,0.002,0.0001,0.0001,8,5,16,"(0.3, 0.3, 0.3)",0.6,0.6,0.2,0.6,0.001,0.001,1e-05,44.26,58.62,33.96,64.16,79.26,80.06
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.5)",4,128,0.001,0.0001,0.0001,8,5,64,"(0.5, 0.5, 0.5)",0.8,0.2,0.0,0.6,0.0001,0.0,0.001,43.46,58.17,38.34,64.29,77.72,78.14
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.3)",4,128,0.005,0.0001,0.005,8,5,64,"(0.3, 0.3, 0.3)",0.8,0.2,0.6,0.2,0.0001,0.001,1e-05,42.56,62.27,42.36,66.48,79.96,80.9
"(256, 32, 256)","(0.2, 0.2, 0.2, 0.2)",5,64,0.001,0.0005,0.005,32,4,64,"(0.2, 0.2, 0.2)",0.6,0.8,0.6,0.0,0.001,0.0001,1e-05,44.65,57.92,33.92,62.49,78.6,79.35
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.3)",6,128,0.001,0.001,0.005,64,5,64,"(0.5, 0.5, 0.5)",0.2,0.2,0.4,1.0,0.0,1e-05,0.001,42.6,60.75,38.16,66.08,80.04,80.17
"(256, 32, 256)","(0.4, 0.4, 0.4, 0.4)",6,128,0.001,0.0005,0.001,32,5,64,"(0.3, 0.3, 0.3)",0.8,0.2,1.0,0.2,0.001,0.0001,0.0001,42.81,62.51,34.92,64.9,80.13,80.62
"(128, 16, 128)","(0.4, 0.4, 0.4, 0.4)",4,128,0.001,0.0001,0.005,32,5,8,"(0.4, 0.4, 0.4)",0.8,0.4,0.6,0.8,0.0,0.0001,1e-05,43.46,61.02,35.8,64.95,79.43,80.03
"(128, 32, 128)","(0.4, 0.4, 0.4, 0.4)",4,32,0.002,0.0001,0.001,64,4,16,"(0.2, 0.2, 0.2)",0.4,0.2,1.0,0.2,0.001,0.0001,1e-05,50.13,48.79,26.87,60.35,77.16,78.19
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.3)",5,64,0.002,0.0001,0.0001,16,4,16,"(0.5, 0.5, 0.5)",0.2,0.0,0.0,1.0,0.0,0.001,1e-05,40.23,66.04,40.39,68.14,81.01,81.37
"(64, 16, 64)","(0.4, 0.4, 0.4, 0.4)",3,32,0.001,0.0001,0.001,64,4,32,"(0.4, 0.4, 0.4)",0.6,0.4,0.0,0.8,0.0,1e-05,0.0,43.18,58.6,40.48,65.91,79.47,80.04
"(128, 32, 128)","(0.3, 0.3, 0.3, 0.3)",5,64,0.001,0.0001,0.005,64,5,8,"(0.2, 0.2, 0.2)",0.4,0.2,0.2,0.6,0.001,0.0001,0.0,48.24,52.53,30.42,61.01,76.24,77.31
"(128, 32, 128)","(0.4, 0.4, 0.4, 0.4)",3,64,0.001,0.0001,0.005,8,4,16,"(0.4, 0.4, 0.4)",0.6,0.4,0.2,0.6,1e-05,0.0001,0.0,42.87,59.78,38.91,64.07,79.78,80.51
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.3)",6,64,0.002,0.001,0.0001,8,4,32,"(0.2, 0.2, 0.2)",0.8,0.0,0.6,0.8,1e-05,1e-05,0.0,43.42,61.18,36.06,65.03,78.91,79.57
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.3)",4,32,0.0005,0.001,0.0001,64,4,16,"(0.3, 0.3, 0.3)",0.2,1.0,0.8,0.6,0.0001,0.0001,0.0,41.81,62.01,38.64,66.7,82.1,82.64
"(64, 32, 64)","(0.3, 0.3, 0.3, 0.3)",5,32,0.0005,0.001,0.001,8,4,64,"(0.5, 0.5, 0.5)",1.0,1.0,0.4,0.4,0.0001,0.0001,0.0,41.97,60.56,40.96,65.78,79.52,79.79
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.3)",6,32,0.001,0.0001,0.0001,32,4,64,"(0.2, 0.2, 0.2)",0.8,0.2,1.0,0.0,0.001,1e-05,1e-05,51.77,43.64,25.73,58.12,75.84,77.38
"(128, 32, 128)","(0.3, 0.3, 0.3, 0.5)",3,128,0.005,0.0005,0.005,8,4,64,"(0.5, 0.5, 0.5)",0.6,0.8,0.0,0.8,1e-05,0.0,0.0,41.68,63.56,38.82,67.0,80.39,80.74
"(128, 32, 128)","(0.4, 0.4, 0.4, 0.4)",3,128,0.0005,0.0001,0.001,32,4,32,"(0.2, 0.2, 0.2)",0.6,0.0,1.0,0.8,0.0001,0.0001,0.001,44.82,57.14,35.71,65.51,77.07,77.25
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.5)",6,64,0.002,0.0005,0.005,32,4,8,"(0.2, 0.2, 0.2)",0.4,0.4,0.4,0.0,0.0,0.0001,0.0,43.45,59.95,38.77,65.91,80.31,80.69
"(64, 32, 64)","(0.2, 0.2, 0.2, 0.2)",6,64,0.002,0.0001,0.0001,32,4,64,"(0.2, 0.2, 0.2)",0.8,0.4,0.8,0.2,0.0,0.001,0.0001,40.76,63.82,41.23,66.43,80.18,80.48
"(64, 32, 64)","(0.2, 0.2, 0.2, 0.2)",5,32,0.001,0.001,0.005,32,5,64,"(0.5, 0.5, 0.5)",0.8,0.8,0.2,0.2,0.0001,1e-05,0.001,42.17,60.79,41.05,64.77,79.56,80.0
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.5)",4,128,0.001,0.001,0.001,16,5,64,"(0.4, 0.4, 0.4)",0.6,0.0,0.6,0.4,0.0001,1e-05,0.001,43.56,58.59,39.26,66.0,77.99,78.39
"(128, 16, 128)","(0.4, 0.4, 0.4, 0.4)",4,32,0.001,0.0005,0.001,8,5,64,"(0.2, 0.2, 0.2)",0.8,0.6,1.0,0.8,0.0001,0.0001,1e-05,43.08,61.6,35.75,66.35,80.44,80.99
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.3)",5,128,0.005,0.0001,0.001,32,4,8,"(0.2, 0.2, 0.2)",0.4,0.8,0.0,0.4,1e-05,0.0,1e-05,43.3,61.56,33.48,65.56,81.49,81.91
"(128, 16, 128)","(0.4, 0.4, 0.4, 0.4)",4,128,0.002,0.001,0.0001,8,4,64,"(0.2, 0.2, 0.2)",0.4,0.2,0.0,0.6,0.0,0.0001,1e-05,42.31,61.11,38.77,65.95,80.31,80.76
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.3)",5,64,0.001,0.0001,0.005,16,5,64,"(0.5, 0.5, 0.5)",0.4,1.0,1.0,0.0,0.0,0.0,1e-05,42.58,61.17,38.51,65.78,79.96,80.34
"(128, 32, 128)","(0.3, 0.3, 0.3, 0.5)",3,128,0.002,0.001,0.0001,64,5,16,"(0.5, 0.5, 0.5)",0.2,0.8,0.2,0.8,0.001,0.0,0.0,46.34,53.77,33.04,62.8,77.46,78.49
"(256, 32, 256)","(0.4, 0.4, 0.4, 0.4)",5,128,0.0005,0.0005,0.005,16,4,8,"(0.2, 0.2, 0.2)",0.8,0.2,0.2,0.8,0.0,0.0,0.0,44.15,57.85,36.28,65.51,78.86,79.27
"(128, 32, 128)","(0.2, 0.2, 0.2, 0.2)",4,64,0.001,0.0001,0.0001,64,5,32,"(0.2, 0.2, 0.2)",0.8,0.0,0.6,0.8,1e-05,0.001,0.0,42.75,62.32,37.77,65.43,80.35,80.97
"(64, 32, 64)","(0.2, 0.2, 0.2, 0.2)",6,128,0.005,0.001,0.001,64,5,32,"(0.5, 0.5, 0.5)",0.8,0.2,1.0,0.8,1e-05,0.0001,0.001,40.63,66.26,40.66,67.83,81.44,81.82
"(64, 32, 64)","(0.3, 0.3, 0.3, 0.5)",5,128,0.002,0.0005,0.005,32,5,64,"(0.3, 0.3, 0.3)",0.2,0.6,0.4,0.4,0.0,0.0001,1e-05,41.91,62.4,38.6,65.91,79.82,80.62
